"Time Stamp","Time Zone","Name","PTID","Load"
"07/27/2025 01:35:00","EDT","WEST",61752,1989.2952
"07/27/2025 01:40:00","EDT","CAPITL",61757,1404.0967
"07/27/2025 01:40:00","EDT","CENTRL",61754,1838.6614
"07/27/2025 01:40:00","EDT","DUNWOD",61760,704.3794
"07/27/2025 01:40:00","EDT","GENESE",61753,1246.6603
"07/27/2025 01:40:00","EDT","HUD VL",61758,1184.2875
"07/27/2025 01:40:00","EDT","LONGIL",61762,2421.5044
"07/27/2025 01:40:00","EDT","MHK VL",61756,899.8395
"07/27/2025 01:40:00","EDT","MILLWD",61759,292.6469
"07/27/2025 01:40:00","EDT","N.Y.C.",61761,6042.4043
"07/27/2025 01:40:00","EDT","NORTH",61755,578.5784
"07/27/2025 01:40:00","EDT","WEST",61752,1965.3687
"07/27/2025 01:45:00","EDT","CAPITL",61757,1406.1583
"07/27/2025 01:45:00","EDT","CENTRL",61754,1825.2585
"07/27/2025 01:45:00","EDT","DUNWOD",61760,701.3406
"07/27/2025 01:45:00","EDT","GENESE",61753,1246.8994
"07/27/2025 01:45:00","EDT","HUD VL",61758,1155.3914
"07/27/2025 01:45:00","EDT","LONGIL",61762,2405.338
"07/27/2025 01:45:00","EDT","MHK VL",61756,917.7435
"07/27/2025 01:45:00","EDT","MILLWD",61759,291.9001
"07/27/2025 01:45:00","EDT","N.Y.C.",61761,6031.263
"07/27/2025 01:45:00","EDT","NORTH",61755,570.2746
"07/27/2025 01:45:00","EDT","WEST",61752,1949.5396
"07/27/2025 01:50:00","EDT","CAPITL",61757,1404.5247
"07/27/2025 01:50:00","EDT","CENTRL",61754,1784.1921
"07/27/2025 01:50:00","EDT","DUNWOD",61760,685.0325
"07/27/2025 01:50:00","EDT","GENESE",61753,1236.2908
"07/27/2025 01:50:00","EDT","HUD VL",61758,1158.741
"07/27/2025 01:50:00","EDT","LONGIL",61762,2390.335
"07/27/2025 01:50:00","EDT","MHK VL",61756,885.0597
"07/27/2025 01:50:00","EDT","MILLWD",61759,302.726
